Task Name,Description,List,Priority,Time Estimate,Tags
Revogar acessos do dev anterior,"Trocar senha do admin seed (desenvolvimento@suppercerto.com.br), revisar acessos ao GitHub, Lovable e servidor supabase-cotecerto.sandboxallcom.com",0 - Pré-obra,Urgent,4h,"seguranca,infra"
Rotacionar credenciais do Supabase,"Gerar novas service_role key e anon key, trocar senha do banco Postgres, atualizar variáveis de ambiente do deploy",0 - Pré-obra,Urgent,4h,"seguranca,infra"
Configurar e testar backup do banco,"Rotina de backup automático do Supabase self-hosted (pg_dump/wal-g) + executar um restore de teste documentado",0 - Pré-obra,Urgent,8h,infra
Auditar drift banco vs migrations,"pg_dump --schema-only do banco de produção e comparar com as migrations 000–039 do repositório; documentar divergências e reconciliar",0 - Pré-obra,High,8h,banco
Levantar dados reais em produção,"Contar usuários/leads/cotações reais; identificar dados que violariam as novas constraints (textos gigantes, documentos duplicados) e planejar limpeza",0 - Pré-obra,High,4h,banco
Documentar deploy atual do front,"Descobrir onde o app roda (não há config no repo), documentar processo de publicação e onde vivem as env vars (SELF_SUPABASE_SERVICE_ROLE_KEY etc.)",0 - Pré-obra,High,4h,infra
Definir fluxo git e destino do Lovable,"Decidir: manter sincronização com Lovable ou desconectar; definir branches, PRs e proteção da main",0 - Pré-obra,High,4h,processo
Validar escopo V10 com a diretoria,"Confirmar percentuais (20% Master), faixas Elite, alçadas de desconto e prioridades antes de codificar",0 - Pré-obra,High,4h,processo
Definir política LGPD e retenção,"Retenção de login_audit (IP/user_agent), tratamento de CPF/CNPJ, quem acessa o quê",0 - Pré-obra,Normal,4h,processo
Adotar Supabase CLI para migrations,"Substituir aplicação manual no SQL Editor por migrations versionadas via CLI; baseline do estado atual",0 - Pré-obra,High,8h,"banco,infra"
Criar ambiente de staging,"Instância Supabase de staging + deploy de front de homologação com dados de teste",0 - Pré-obra,High,12h,infra
Gerar tipos TypeScript do banco,"supabase gen types typescript + integrar no client.ts; eliminar any nas queries",0 - Pré-obra,Normal,8h,front
